Coalition,Date,Region or State,Adult ICU Empty ,Adult ICU Full,Adult Intensive Care Unit Staffed Bed Capacity,at_admission_confirmed_covid19_patients_in_24_hrs,at_admission_suspected_covid19_patients_in_24_hrs,ED COVID Visits Previous Day,ED Total Visits Previous Day,full_adult_icu_covid19_positive_patients,Hospitalized and Ventilated COVID Inpatient Count,ICU Licensed Beds,Inpatient Empty Beds (all types),Inpatient Full (all bed types),Licensed Inpatient Beds,Number of COVID-19 Positive Patients In Hospital,Parent Name,TOTAL Staffed Inpatient Capacity (all bed types),Ventilator available,Ventilator used (not specific to COVID-19)
THPC,5/8/2020,State,220,375,595,,,,,,,926,1483,2818,6070,91,22,4301,592,175
EHPC,5/29/2020,State,90,186,276,,,,,,,420,745,1593,3851,96,18,2338,352,115
MCRHC,3/18/2021,State,86,383,469,16,42,148,1378,39,15,468,630,2137,3301,138,12,2767,459,140
EHPC,3/9/2021,State,93,208,301,25,29,151,1793,34,18,420,888,2072,3851,162,19,2960,377,145
SHPR,5/29/2021,State,46,56,102,2,21,85,516,5,10,112,275,761,1392,30,6,1036,128,46
EHPC,1/19/2021,State,62,248,310,50,25,275,1772,78,67,420,740,2246,3851,447,19,2986,338,191
THPC,5/15/2021,State,93,408,501,22,7,179,1775,64,37,926,1421,3270,6070,175,27,4691,587,203
SHPR,5/7/2021,State,38,64,102,6,15,92,532,13,9,112,246,790,1392,39,6,1036,145,29
SHPR,9/27/2020,State,43,34,77,2,18,93,479,6,7,112,331,685,1392,23,6,1016,142,28
EHPC,5/25/2020,State,103,149,252,,,,,,,420,742,1345,3851,98,14,2087,329,102
MHPC,3/8/2021,State,110,350,460,23,25,234,1906,55,30,687,1199,3618,4815,236,18,4817,641,217
MHPC,7/3/2020,State,55,386,441,28,91,,,71,,687,725,3344,4815,286,16,4069,563,183
MHPC,6/23/2020,State,109,352,461,20,115,,,57,,687,772,3298,4815,220,16,4070,547,210
EHPC,6/13/2020,State,82,169,251,8,18,,,27,,420,670,1518,3851,87,15,2188,334,90
MHPC,6/25/2020,State,78,383,461,19,90,,,49,,687,686,3376,4815,226,16,4062,541,208
THPC,1/10/2021,State,60,488,548,125,13,278,1635,221,124,926,1303,3669,6070,1048,29,4972,528,295
DHPC,5/31/2021,State,32,146,178,6,0,27,796,21,15,424,421,1329,2640,58,7,1750,162,80
EHPC,12/14/2020,State,78,230,308,41,18,224,1643,71,52,420,753,2194,3851,354,19,2947,340,162
MHPC,4/18/2020,State,214,369,583,,,,,,,687,1551,2416,4815,125,15,3967,574,146
THPC,1/3/2021,State,54,483,537,132,24,377,1900,204,111,926,1259,3713,6070,974,29,4972,519,293
DHPC,2/15/2021,State,15,178,193,8,7,63,542,57,37,424,355,1459,2640,178,7,1814,144,98
CapRAC,4/21/2020,State,74,150,224,,,,,,,203,444,1520,1418,80,5,1964,279,61
EHPC,1/31/2021,State,66,242,308,44,32,163,1433,68,45,420,977,2035,3851,359,19,3012,374,154
SHPR,5/1/2020,State,27,42,69,,,,,,,112,335,612,1392,15,5,947,136,28
DHPC,12/5/2020,State,14,173,187,22,3,94,728,38,25,424,321,1419,2640,148,7,1740,125,90
EHPC,11/29/2020,State,84,219,303,32,22,150,1502,57,40,420,853,2087,3851,273,19,2940,337,145
CapRAC,1/9/2021,State,18,151,169,19,34,315,973,63,31,203,192,959,1418,245,7,1151,132,68
MHPC,11/14/2020,State,98,329,427,54,122,487,2314,89,56,687,1218,3420,4815,344,18,4638,562,257
CapRAC,6/8/2020,State,51,173,224,10,5,,,47,,203,556,1422,1418,108,5,1978,252,76
MAHPC,1/12/2021,State,71,134,205,33,42,90,360,71,31,247,499,1056,1979,221,16,1555,113,78
MHPC,5/13/2020,State,140,290,430,,,,,,,687,1173,2922,4815,87,16,4095,566,175
MHPC,2/27/2021,State,102,360,462,19,32,256,2033,79,36,687,1189,3577,4815,305,18,4766,650,243
EHPC,3/16/2021,State,100,203,303,19,34,160,1794,29,21,420,925,2036,3851,133,19,2961,395,131
SHPR,4/28/2021,State,47,56,103,4,9,108,520,4,4,112,266,772,1392,35,6,1038,152,22
MAHPC,5/26/2021,State,78,117,195,6,21,73,930,10,4,247,528,978,1979,27,16,1506,143,43
DHPC,10/4/2020,State,21,118,139,14,4,45,596,18,12,424,376,1356,2640,84,7,1732,166,76
SHPR,1/18/2021,State,32,62,94,7,23,101,418,19,17,112,232,704,1392,115,6,936,137,37
SHPR,5/16/2021,State,38,65,103,4,14,77,504,8,8,112,287,750,1392,34,6,1037,137,37
EHPC,2/14/2021,State,70,238,308,21,11,123,1417,46,36,420,926,2082,3851,238,19,3008,366,162
EHPC,4/26/2020,State,104,182,286,,,,,,,420,952,1437,3851,85,18,2389,331,109
DHPC,11/11/2020,State,38,151,189,11,4,66,742,22,11,424,247,1542,2640,86,7,1789,153,89
THPC,1/17/2021,State,67,490,557,112,14,277,1633,222,138,926,1156,3893,6070,1083,29,5049,502,321
CapRAC,5/3/2021,State,23,154,177,5,28,310,1208,25,8,203,173,983,1418,85,7,1156,167,43
MAHPC,9/24/2020,State,59,111,170,7,67,46,315,19,11,247,436,958,1979,43,14,1394,128,47
EHPC,5/22/2021,State,82,224,306,19,18,132,1678,35,15,420,903,1996,3851,128,19,2899,392,130
CapRAC,8/3/2020,State,48,121,169,8,17,,,35,,203,356,802,1418,99,5,1158,151,49
EHPC,1/1/2021,State,84,222,306,63,26,298,1770,67,49,420,805,2148,3851,443,19,2953,367,159
DHPC,5/10/2021,State,24,164,188,5,1,47,675,16,11,424,301,1472,2640,81,7,1773,159,83
CapRAC,1/25/2021,State,9,160,169,13,18,271,933,66,33,203,172,993,1418,272,7,1165,120,80
THPC,12/30/2020,State,42,499,541,91,23,355,1917,220,108,926,1065,3969,6070,968,29,5034,519,293
MHPC,5/5/2020,State,145,304,449,,,,,,,687,1295,2847,4815,110,16,4142,600,160
EHPC,3/27/2021,State,73,231,304,18,9,179,1843,33,17,420,934,2036,3851,141,19,2970,382,144
SHPR,11/14/2020,State,39,52,91,4,28,94,469,7,5,112,248,763,1392,40,6,1011,149,25
DHPC,11/17/2020,State,25,163,188,16,9,77,779,30,14,424,253,1537,2640,118,7,1790,159,83
MAHPC,7/16/2020,State,68,93,161,6,54,,,13,,247,503,775,1979,37,13,1278,117,43
MHPC,5/29/2020,State,59,480,539,,,,,,,687,900,3258,4815,131,16,4158,588,174
DHPC,11/27/2020,State,19,171,190,16,2,52,453,31,23,424,496,1257,2640,130,7,1753,161,81
DHPC,6/14/2020,State,27,149,176,11,11,,,37,,424,336,1451,2640,104,5,1787,290,103
THPC,8/7/2020,State,180,407,587,25,39,,,88,,926,1776,3163,6070,257,23,4939,499,192
MCRHC,4/2/2021,State,118,352,470,23,21,159,1339,44,12,468,771,2004,3301,130,12,2775,476,123
EHPC,12/18/2020,State,57,251,308,53,22,243,1708,72,48,420,680,2267,3851,356,19,2947,344,175
CapRAC,7/20/2020,State,49,206,255,14,17,,,51,,203,523,1493,1418,187,5,2016,278,67
SHPR,8/5/2020,State,23,54,77,2,5,,,12,,112,312,669,1392,43,6,981,137,33
CapRAC,1/12/2021,State,15,154,169,16,26,368,1096,69,30,203,165,998,1418,250,7,1163,129,71
SHPR,5/31/2021,State,48,54,102,3,6,89,549,3,10,112,277,759,1392,33,6,1036,137,37
MAHPC,5/9/2021,State,93,95,188,7,21,74,810,11,5,247,566,843,1979,41,15,1409,148,31
MHPC,4/15/2020,State,240,343,583,,,,,,,687,1474,2400,4815,116,15,3874,482,126
MAHPC,11/28/2020,State,74,105,179,11,29,64,345,15,9,247,545,949,1979,78,16,1494,139,50
MHPC,5/25/2021,State,64,375,439,16,9,216,2926,44,30,687,1042,3776,4815,149,18,4818,626,234
EHPC,7/25/2020,State,58,217,275,16,35,,,38,,420,771,1870,3851,118,16,2641,300,137
CapRAC,6/16/2020,State,31,193,224,18,8,,,56,,203,390,1607,1418,134,5,1997,221,107
THPC,5/22/2020,State,231,386,617,,,,,,,926,1310,3104,6070,171,22,4414,481,191
SHPR,10/30/2020,State,32,45,77,1,25,94,451,13,10,112,252,733,1392,40,5,985,137,33
EHPC,9/25/2020,State,73,228,301,19,59,104,1262,60,27,420,777,2150,3851,204,19,2927,296,108
SHPR,4/20/2021,State,41,63,104,3,10,92,586,7,4,112,277,761,1392,32,6,1038,133,41
DHPC,11/5/2020,State,38,154,192,14,9,66,653,20,13,424,286,1490,2640,85,7,1776,156,86
MAHPC,7/17/2020,State,59,102,161,4,55,,,15,,247,493,780,1979,41,13,1273,115,47
DHPC,9/22/2020,State,12,157,169,35,8,44,645,17,14,424,279,1478,2640,65,6,1757,153,85
DHPC,6/12/2021,State,27,151,178,7,8,31,803,15,13,424,336,1359,2640,54,7,1695,149,93
DHPC,7/10/2020,State,20,163,183,15,7,,,33,,424,314,1457,2640,106,6,1771,145,92
THPC,11/2/2020,State,139,434,573,46,17,223,1847,106,56,926,1703,3532,6070,333,29,5235,528,218
SHPR,2/23/2021,State,30,70,100,6,17,98,484,10,16,112,230,765,1392,72,6,995,127,47
MCRHC,7/28/2020,State,98,360,458,15,113,,,40,,468,640,2067,3301,157,10,2707,466,128
MHPC,4/22/2020,State,236,347,583,,,,,,,687,1452,2508,4815,124,15,3960,478,131
EHPC,8/1/2020,State,60,193,253,19,24,,,32,,420,546,1779,3851,126,15,2325,294,113
CapRAC,8/12/2020,State,47,122,169,5,31,,,24,,203,339,814,1418,76,5,1153,158,44
SHPR,5/26/2021,State,48,54,102,6,10,102,594,6,10,112,227,809,1392,29,6,1036,133,41
MHPC,10/11/2020,State,80,347,427,35,85,412,2190,66,33,687,1167,3505,4815,248,18,4672,584,239
MCRHC,9/14/2020,State,103,359,462,11,87,196,846,37,20,468,604,2036,3301,117,11,2640,452,132
MHPC,4/14/2021,State,82,389,471,34,29,340,2580,68,21,687,1068,3769,4815,289,18,4837,648,212
THPC,4/19/2020,State,261,320,581,,,,,,,926,2029,2176,6070,56,20,4205,428,160
DHPC,11/1/2020,State,38,150,188,12,9,53,618,16,10,424,367,1361,2640,81,7,1728,161,81
DHPC,5/14/2020,State,45,172,217,,,,,,,424,560,1634,2640,80,7,2194,335,97
CapRAC,3/25/2021,State,26,151,177,5,18,321,1162,16,10,203,186,982,1418,92,7,1168,156,44
MCRHC,5/31/2020,State,53,225,278,,,,,,,468,381,1713,3301,62,6,2094,233,95
MCRHC,7/19/2020,State,108,350,458,10,83,,,43,,468,700,1995,3301,123,10,2695,470,123
CapRAC,11/12/2020,State,32,137,169,3,18,299,1081,30,14,203,153,930,1418,92,7,1083,162,38
MCRHC,3/2/2021,State,87,381,468,24,45,196,1505,63,21,468,657,2108,3301,180,12,2765,456,143
MAHPC,12/16/2020,State,79,146,225,21,45,76,360,44,23,247,482,1042,1979,153,16,1524,111,78
SHPR,5/28/2021,State,49,53,102,4,20,83,549,5,10,112,251,785,1392,35,6,1036,135,39
EHPC,4/26/2021,State,82,224,306,14,3,139,1735,46,26,420,869,2095,3851,152,19,2964,382,143
THPC,7/8/2020,State,153,421,574,25,133,,,61,,926,1192,3331,6070,225,23,4523,511,185
CapRAC,4/6/2020,State,74,150,224,,,,,,,203,712,1254,1418,50,5,1966,263,75
CapRAC,6/3/2021,State,24,153,177,4,22,261,1280,15,6,203,177,995,1418,40,7,1172,170,40
THPC,5/19/2020,State,170,419,589,,,,,,,926,1372,2987,6070,140,22,4359,586,192
MAHPC,9/9/2020,State,97,67,164,2,53,29,312,13,10,247,521,754,1979,44,13,1275,129,39
MHPC,8/20/2020,State,80,357,437,33,106,,,78,,687,1233,3531,4815,273,16,4764,568,214
CapRAC,2/7/2021,State,15,154,169,11,15,238,943,51,25,203,191,976,1418,191,7,1167,131,69
THPC,10/28/2020,State,105,462,567,41,23,246,1890,109,53,926,1577,3677,6070,287,29,5254,525,223
DHPC,4/26/2020,State,33,130,163,,,,,,,424,502,1058,2640,50,4,1560,224,104
THPC,12/2/2020,State,94,469,563,81,27,263,1770,146,66,926,1502,3767,6070,557,29,5269,541,243
MHPC,3/2/2021,State,84,376,460,28,47,275,2539,75,40,687,1144,3652,4815,299,18,4796,654,232
EHPC,7/22/2020,State,71,200,271,15,32,,,35,,420,635,1832,3851,118,17,2467,313,126
THPC,11/1/2020,State,121,442,563,33,19,157,1596,107,59,926,1775,3384,6070,311,29,5159,526,220
EHPC,4/13/2020,State,112,186,298,,,,,,,420,1287,1547,3851,75,19,2834,331,126
MHPC,4/9/2021,State,103,357,460,32,26,299,2370,61,28,687,1180,3641,4815,249,18,4821,633,224
THPC,6/3/2021,State,123,400,523,27,10,210,2036,35,19,926,1362,3494,6070,137,28,4856,616,185
MHPC,10/5/2020,State,77,350,427,30,99,473,2214,68,31,687,1197,3504,4815,223,18,4701,566,251
CapRAC,2/15/2021,State,21,148,169,2,7,259,885,50,24,203,211,952,1418,163,7,1163,136,64
EHPC,10/26/2020,State,73,229,302,24,19,174,1472,53,36,420,781,2146,3851,207,19,2927,330,153
EHPC,4/12/2021,State,112,194,306,13,17,177,1775,32,22,420,926,2053,3851,144,19,2979,384,142
MAHPC,2/23/2021,State,77,118,195,10,36,117,853,18,11,247,564,996,1979,62,16,1560,136,50
CapRAC,4/27/2020,State,-14,238,224,,,,,,,203,772,1194,1418,78,5,1966,291,49
MCRHC,4/11/2021,State,90,380,470,10,24,132,1041,32,9,468,680,2092,3301,124,12,2772,463,136
DHPC,7/24/2020,State,32,176,208,15,4,,,35,,424,412,1604,2640,127,7,2016,190,81
